"Conditions Combination","Combinaison de conditions"
"Product Attribute","Attribut Produit"
"Only in stock products","Seulement les produits en stock"
"Only discounted products","Seulement les produits en promotion"
"Only products with image","Seulement les produits possédant une image"
"Only bundle products","Seulement les produits bundles"
"Only configurable products","Seulement les produits configurables"
"Only downloadable products","Seulement les produits téléchargeables"
"Only giftcard products","Seulement les produits carte cadeau"
"Only grouped products","Seulement les produits groupés"
"Only simple products","Seulement les produits simples"
