"Indices Status","Indizes Status"
"Index Title","Indextitel"
"Index Alias","Index-Alias"
"Number of documents","Anzahl der Dokumente"
"Size","Größe"
"Index Status","Indexstatus"
"Action","Aktion"
"Delete","Löschen"
"Are you sure you want to delete the index?","Möchten Sie den Index wirklich löschen?"""
"You deleted the index %1.","Sie haben den Index %1 gelöscht."
"B","B"
"KB","KB"
"MB","MN"
"GB","SF"
"Index can't be removed.","Index kann nicht entfernt werden."
"Mapping for index:","Zuordnung für Index:"
"System","System"
"Manage Indexes Status","Indexstatus verwalten"
"Deleting index","Index löschen"
"Indexer key","Indexschlüssel"
"Index name","Indexname"
"Add mapping of index","Zuordnung des Index hinzufügen"
"Indices Mapping","Indizes Mapping"
"Mapping","Zuordnung"
"The number of shards configured for Elasticsuite is incorrect.","Die Anzahl der für Elasticsuite konfigurierten Scherben ist falsch."
"You do not need to use <strong>%1 shards</strong> since your biggest Elasticsuite index is only <strong>%2</strong>.","Sie müssen keine <strong>%1 Scherben</strong> verwenden, da Ihr größter Elasticsuite-Index nur <strong>%2</strong> ist."
"Click here to go to the <a href=""%1""><strong>Elasticsuite Config</strong></a> page and change your <strong>Number of Shards per Index</strong> parameter according to our <a href=""%2"" target=""_blank""><strong>wiki page</strong></a>.","Klicken Sie hier, um zur <a href=""%1""><strong>Elasticsuite Konfiguration</strong></a> Seite zu wechseln und Ihre <strong>Anzahl der Scherben pro Index</strong> Parameter entsprechend unserer <a href=""%2"" target=""_blank""><strong>Wiki-Seite</strong></a> zu ändern."
"You have <strong>%1 ghost indices</strong>. Ghost indices have a footprint on your Elasticsearch cluster health. You should consider removing them.","Sie haben <strong>%1 Geister-Indizes</strong>. Geister-Indizes haben einen Fußabdruck auf Ihrer Elasticsearch Cluster-Gesundheit. Sie sollten in Erwägung ziehen, sie zu entfernen."
"Click here to go to the <a href=""%1""><strong>Elasticsuite Indices</strong></a> page to take appropriate actions.","Klicken Sie hier, um zu den <a href=""%1""><strong>Elasticsuite Indizes</strong></a> Seite zu gelangen, um entsprechende Aktionen durchzuführen."
"Analysis","Analyse"
"Analyze by Analyzer","Analysieren durch Analyzer"
"Index name:","Indexname:"
"Analyzer name:","Analysatorname:"
"text to analyze","zu analysierender Text"
"Analyze","Analysieren"
"Token","Token"
"Position","Position"
"Start Offset","Start-Versatz"
"End Offset","Ende Versatz"
"Show all indices","Alle Indizes anzeigen"
"Hide external indices","Externe Indizes ausblenden"
