Thesaurus,Thesaurus
"Add New Thesaurus","Ajouter un nouveau Thésaurus"
"Create Thesaurus","Créer Thésaurus"
"Create a Thesaurus","Créer un Thésaurus"
Synonym,Synonyme
Expansion,Expansion
Type,Type
"Thesaurus Type","Type de thésaurus"
"Save Thesaurus","Sauvegarder le thésaurus"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Delete Thesaurus","Supprimer le thésaurus"
"Edit a Thesaurus","Modifier le thésaurus"
"General Information","Informations générales"
"Thesaurus Name","Nom du thésaurus"
Active,Activé
Store,Vue magasin
"Bag of words","Liste de termes"
Synonyms,Synonymes
"Reference Term","Terme de référence"
"Expansion terms","Termes étendus"
"Add Expansion Rule","Ajouter une règle d'expansion"
"Synonym terms","Termes synonymes"
"Add Synonym Rule","Ajouter une liste de synonymes"
"This thesaurus no longer exists.","Ce thésaurus n'existe plus."
"You deleted the thesaurus %1.","Vous avez supprimé le thésaurus %1."
"Edit %1 (%2)","Édition : %1 (%2)"
"Something went wrong while editing the thesaurus.","Une erreur s'est produite durant l'édition du thésaurus."
"New Thesaurus (%1)","Nouveau thésaurus (%1)"
"Please select searches.","Veuillez sélectionner un critère."
"Total of %1 record(s) were deleted.","%1 enregistrement(s) ont été supprimé(s)."
"You saved the thesaurus %1.","Thésaurus %1 sauvegardé."
"Thesaurus Configuration","Configuration du thésaurus"
"General Configuration","Configuration Générale"
"Max Allowed Rewrites","Nombre maximum de remplacements"
"Maximum number of thesaurus rules applied at a given time to a given search query to produce alternative queries. That number applies first to the synonyms rules and then the expansion rules. For instance if the setting's value is 2, it means each alternative query will be the result of the application of at most 2 synonyms rules and at most 2 expansion rules. But if you have 10 synonym rules and 5 expansion rules, they could all end up being applied by pairs. So be careful about augmenting this setting's value, especially if you already have a lot of rules with long lists of alternative terms.","Nombre maximal de règles de thésaurus appliquées consécutivement à une requête de recherche pour générer des  requêtes alternatives. Ce nombre s'applique d'abord aux règles de synonymes puis aux règles d'expansion. Par exemple si la valeur du paramètre est 2, chaque requête alternative sera le résultat de l'application d'au plus 2 règles de synonymes et de 2 règles d'expansion. Mais si vous avez 10 règles de synonymes et 5 règles d'expansions, elles pourraient au final être toutes appliquées par paires. Soyez donc prudent sur l'augmentation de ce paramètre, particulièrement si vous avez déjà beaucoup de règles avec de grandes listes de termes alternatifs."
"Max Alternative Search Queries","Nombre maximum de recherches alternatives"
"Maximum number of alternative search queries taken into account. Use this setting if you have performance issues arising on your cluster related to a huge volume of thesaurus rules. Defaults to 0 (no limitation).","Nombre de recherches alternatives réellement prises en compte. Utilisez ce paramètre si vous rencontrez des problèmes de performance de votre cluster liés à un énorme volume de règles de thésaurus. Valeur par défaut: 0 (pas de limitation)."
"Synonyms Configuration","Configuration des synonymes"
"Enable Synonyms Search","Activer la recherche par synonyme"
"Synonyms Weight Divider","Pondérateur de poids pour les synonymes"
"Query Expansions Configuration","Configuration de la recherche par expansion"
"Enable Search Expansions","Activer la recherche par expansion"
"Concepts Weight Divider","Pondérateur de poids pour les expansions"
"ElasticSuite Thesaurus Indexing","Index de thésaurus ElasticSuite"
"Reindex ElasticSuite search engine thesaurus.","Réindexer le thésaurus ElasticSuite."
"Manage Elasticsuite Thesaurus","Gérer les Thesaurus Elasticsuite"
Delete,Supprimer
"Are you sure?","Êtes-vous sûr ?"
Name,Nom
Expansions,Expansions
Terms,Termes
Status,Status
Inactive,Désactivé
Action,Action
Edit,Editer
Any,Tous
Mass Actions,Actions de masse
Enable,Activer
Disable,Désactiver
Select All,Tout sélectionner
Unselect All,Tout déselectionner
Select Visible,Sélectionner visibles
Unselect Visible,Désectionner visibles
"Are you sure you want to enable the selected thesaurus?","Êtes-vous sûr(e) de vouloir activer les thésaurus sélectionnés ?"
"Are you sure you want to disable the selected thesaurus?","Êtes-vous sûr(e) de vouloir désactiver les thésaurus sélectionnés ?"
"Are you sure you want to delete the selected thesaurus?","Êtes-vous sûr(e) de vouloir supprimer les thésaurus sélectionnés ?"
"Please select thesaurus to disable.","Veuillez sélectionner un thésaurus à désactiver."
"Total of %1 thesaurus were disabled.","Un total de %1 thesaurus ont été désactivés."
"Please select thesaurus to enable.","Veuillez sélectionner un thésaurus à activer."
"Total of %1 thesaurus were enabled.","Un total de %1 thesaurus ont été activés."
