Tracking,Tracking
"Global Configuration","Configuration générale"
"Enabled","Activé"
"Session Configuration","Configuration de la session"
"Visit Cookie Name","Nom du cookie de visite"
"Visit Cookie Lifetime","Durée de vie du cookie de visite"
"In seconds. (Default is 3600 sec.)<br /> Without any activity under this delay we start a new visit.","En secondes (valeur par défaut 3600 s).</br />Si aucune activité pendant ce délai, une nouvelle visite est prise en compte."
"Visitor Cookie Name","Nom du cookie visiteur"
"Visitor Cookie Lifetime","Durée de vie du cookie visiteur"
"In days. (Default is 365 days.)<br /> This cookie will be stick to the customer to allow multiple session aggregation.","En jours (valeur par défaut 365 jours). <br />Ce cookie permet de consolider les multiples visites d'une même personne."
"Tracking Anonymization","Anonymisation des données collectées"
"Anonymize customer data after a delay.","Anonymiser les données clients collectées après un délai."
"Anonymization Delay","Délai d'anonymisation"
"In days. (Default is 365 days.)<br /> Tracked customer related data will be anonymized after this delay.","En jours (valeur par défaut 365 jours).<br /> Les données client collectées seront anonymisées après ce délai."
"In months (default is 12 months.).<br /> Tracking data older than this will be removed each day.","En mois (valeur par défaut 12 mois).<br /> Les données de tracking plus anciennes seront supprimées tous les jours."
"Use the API to collect data","Utiliser l'API pour collecter les données"
"If set to Yes, the tracking script will use the dedicated Rest API endpoint to send its data instead of using the legacy invisible pixel method. Useful if you have issues white-listing the tracker image URL with parameters in your frontend cache or if you customized the data collection and the tracker needs to send bigger payloads than usual.","Si réglé à Oui, le script de tracking utilisera le point d'entrée d'API Rest dédié pour envoyer ses données au lieu d'utiliser la méthode traditionnelle du pixel invisible. Utile si vous avez des soucis pour autoriser l'URL d'image avec des paramètres du tracker dans votre cache front ou bien si vous avez modifié la collecte des données du tracker et que ce dernier doit envoyer beaucoup plus de données."
"Introducing the Elasticsuite newsletter !","Rejoignez la newsletter Elasticsuite !"
"Dear merchant or agency,","Cher marchand ou agence web,"
"We are so grateful you're using Elasticsuite on your webshop and we truly hope we've been part of your business growth since many years now.","Nous sommes profondément reconnaissants que vous utilisiez Elasticsuite sur votre site web, et nous espérons sincèrement avoir contribué à votre croissance depuis de nombreuses années maintenant."
"We'd like to invite you to extend your connection with Elasticsuite by subscribing to our newsletter. Stay ahead of the curve with exclusive insights into our cutting-edge product features. Experience the freedom of open-source collaboration and receive non-intrusive updates that keep you informed without overwhelming your inbox.","Nous aimerions vous inviter à renforcer votre lien avec Elasticsuite en vous abonnant à notre newsletter. Recevez régulièrement des informations exclusives sur les fonctionnalités de notre produit, ainsi que des mises à jour non intrusives qui vous tiennent informé sans submerger votre boîte de réception."
"Join the Elasticsuite community today.","Rejoignez la communauté Elasticsuite dès aujourd'hui."
"No thanks","Non merci"
"There are <strong>%1 invalid Elasticsuite tracker events</strong> in the tracker events queue table. This could indicate that something is wrong with the Elasticsuite tracker tags in the frontend.","Il y a <strong>%1 évènements invalides du tracker Elasticsuite</strong> dans la table file d'attente du tracker. Cela pourrait indiquer un souci au niveau des tags du tracker Elasticsuite dans le frontend."
"Those invalid tracker events will not be indexed into your behavioral data indices and will automatically be deleted after %1 days.","Ces évènements invalides ne seront pas indexés dans vos index des données comportementales et seront automatiquement supprimés après %1 jours."
"You can decide to remove all of them immediately from the <a href=""%1""><strong>Elasticsuite tracker settings</strong></a> in the ""<strong>Queue cleanup configuration</strong>"" section.","Vous pouvez décider de les supprimer tous immédiatement depuis les <a href=""%1""><strong>paramètres du tracker Elasticsuite</strong></a> dans la section ""<strong>Configuration du nettoyage de la file d'attente</strong>""."
"Purge now","Purger maintenant"
"Purge the queue of all invalid events now","Purger de la file d'attente tous les évènements invalides maintenant"
"Queue successfully purged","File d'attente purgée avec succès"
"Failure to purge the queue","Echec de la purge de la file d'attente"
"An error occurred while purging the tracker events queue.","Une erreur est survenue durant la purge de la file d'attente du tracker."
"Queue cleanup configuration","Configuration du nettoyage de la file d'attente"
"Delay","Délai"
"In days. (Default is 7 days.)<br />Invalid tracker events older than this delay are periodically removed from the events indexing queue.","En jours. (Par défaut 7 jours.)<br />Les évènements invalides du tracker plus anciens que ce délai seront périodiquement supprimés de la file d'attente d'indexation des évènements."
"You can click this button to immediately remove all the invalid tracker events from the indexing queue, regardless of the Delay setting above.","Vous pouvez cliquer sur ce bouton pour supprimer immédiatement tous les évènements invalides du tracker de la file d'attente d'indexation. Le paramètre ""Délai"" ci-dessus est ignoré."
"Bot Handling","Gestion des Robots"
"Filter bot hits","Filtrer les hits de robots"
"If enabled, it will prevent known IA or search engines crawler bots generated tracker hits from being recorded to prevent your behavioral data from being polluted by sometimes totally incoherent pagination or results count data.","Si activé, les hits du tracker générés par des robots de moteurs de recherche ou d'IA ne seront pas enregistrés afin d'empêcher la pollution de vos données comportementales par des données de nombre de résultats ou de pagination parfois totalement incohérents."
"The tracker events seem to be regularly indexed as expected.","Les événements du tracker semblent être indexés régulièrement comme attendu."
"There are currently %1 tracker events created more than %2 hours ago in the events queue table.","Il y a actuellement %1 événements du tracker créés il y a plus de %2 heures dans la table de la file d'attente des événements."
"If you think the Elasticsuite <a href=""%1""><strong>Search Usage screen</strong></a> is lacking some behavioral data, make sure the ""<strong>elasticsuite_index_log_event</strong>"" cronjob is running regularly enough.","Si vous pensez que l’écran <a href=""%1""><strong>Utilisation de la recherche</strong></a> d’Elasticsuite manque de données comportementales, assurez-vous que la tâche cron ""<strong>elasticsuite_index_log_event</strong>"" s’exécute suffisamment fréquemment."
